Image,Model,Price,Gender,Peso Hombre,Peso Mujer,Drop,Amortiguación,Constitución,Pisada,Superficie,Uso,Ritmo,Pie,Apoyo,Distancia,Año,URL
Unknow,Nike Pegasus 39,"119,99 €","Hombre, Mujer",270 gr,230 gr,10 mm,Neutro,"Delgada, Medio",Neutro,Asfalto,"Entrenamiento, Competición","Medio, Alto",Normal,Talón,"Corto, 10K, Media maratón, Maratón",2021,
Unknow,HOKA Speedgoat 5,"150,00 €","Hombre, Mujer",292 gr,5 mm,Alto,"Delgada, Medio",Neutro,Trail,Entrenamiento,"Medio, Alto",Normal,Talón,"Maratón, ultra-trail",Veganas,2021,
Unknow,Adidas Ultraboost Light 23,"199,99 €","Hombre, Mujer",299 gr,262 gr,10 mm,Alto,"Medio, Fuerte","Neutro, Supinador",Asfalto,Entrenamiento,"Bajo, Medio",Normal,Talón,"Corto, 10K, Media maratón, Maratón","Material reciclado, Sostenibles en CO2",Unknown
Unknow,Nike Zoom Fly 5,"159,99 €","Hombre, Mujer",286 gr,8 mm,Neutro,Delgada,Neutro,Asfalto,"Entrenamiento, Competición",Alto,Placa de carbono,Normal,Punta,"Corto, 10K, Media maratón, Maratón",Material reciclado,Unknown
Unknow,New Balance Fresh Foam X More v4,"150,00 €","Hombre, Mujer",295 gr,237 gr,4 mm,Alto,"Medio, Fuerte",Neutro,Asfalto,Entrenamiento,Bajo,Normal,Talón,"Corto, 10K, Media maratón, Maratón",2022,
Unknow,HOKA Bondi 8,"160,00 €","Hombre, Mujer",304 gr,4 mm,Alto,"Medio, Fuerte",Neutro,Asfalto,Entrenamiento,Medio,Normal,Talón,"Corto, 10K, Media maratón, Maratón",2022,,
https://static.runnea.com/images/202303/asics-gel-kayano-29-zapatillas-running-400x400x90xX.jpg?1,ASICS Gel Kayano 29,"108,99 €","Hombre, Mujer",Array,Array,10 mm,Alto,"Medio, Fuerte",Pronador,Asfalto,Entrenamiento,"Bajo, Medio","Bajo, Plano",Talón,"Media maratón, Maratón","Material reciclado, Sostenibles en CO2",Unknown
https://static.runnea.com/images/202302/asics-gel-pulse-14-zapatillas-running-400x400x90xX.jpg?1,ASICS Gel Pulse 14,"60,99 €","Hombre, Mujer",312 gr,255 gr,10 mm,Neutro,"Medio, Fuerte",Neutro,Asfalto,Varios,"Bajo, Medio",Normal,Talón,"10K, Media maratón, Maratón",Material reciclado,Unknown
https://static.runnea.com/images/202304/nike-pegasus-trail-4-zapatillas-running-400x400x90xX.jpg?1,Nike Pegasus Trail 4,"77,97 €","Hombre, Mujer",291 gr,10 mm,Alto,Medio,Neutro,Trail,Entrenamiento,Medio,Normal,Talón,"Corto, 10K, Media maratón, Maratón",2022,,
https://static.runnea.com/images/202210/new-balance-nitrel-v5-zapatillas-running-400x400x80xX.jpg?1,New Balance Nitrel v5,"54,99 €","Hombre, Mujer",294 gr,236 gr,8 mm,Neutro,"Delgada, Medio, Fuerte",Neutro,Trail,Entrenamiento,Medio,Normal,Talón,"Corto, 10K, Media maratón",Material reciclado,Unknown
https://static.runnea.com/images/202211/saucony-endorphin-speed-3-zapatillas-running-400x400x80xX.jpg?1,Saucony Endorphin Speed 3,"115,94 €","Hombre, Mujer",229 gr,8 mm,Alto,"Delgada, Medio",Neutro,Asfalto,"Entrenamiento, Competición",Alto,Normal,Punta,"10K, Media maratón, Maratón",Material reciclado,2022,
https://static.runnea.com/images/202306/brooks-cascadia-16-zapatillas-running-400x400x90xX.jpg?1,Brooks Cascadia 16,"74,96 €","Hombre, Mujer",298 gr,8 mm,Alto,"Medio, Fuerte",Neutro,Trail,Entrenamiento,Bajo,Normal,Talón,"10K, Media maratón",2021,,
https://static.runnea.com/images/202308/adidas-adizero-adios-pro-3-zapatillas-running-400x400x90xX.jpg?1,Adidas Adizero Adios Pro 3,"187,50 €","Hombre, Mujer",230 gr,"6,5",Alto,Delgada,Neutro,Asfalto,Competición,Alto,Placa de carbono,Normal,Punta,"Media maratón, Maratón",Material reciclado,Unknown
https://static.runnea.com/images/202303/nike-vaporflynext-3-zapatillas-running-400x400x90xX-1.jpg?1,Nike Vaporfly 3,"220,99 €","Hombre, Mujer",200 gr,151 gr,8 mm,"Neutro, Alto","Delgada, Medio",Neutro,Asfalto,Competición,Alto,Placa de carbono,Punta,"10K, Media maratón, Maratón",2023,
