Model,Type,Price,Gender,Image,Category,Colors
Nike Pegasus Trail 4 GORE-TEX,Zapatillas de trail running impermeables - Hombre,"159,99 €",Men,Unknown,Unknown,Unknown
Nike InfinityRN 4 GORE-TEX,Zapatillas de running para asfalto impermeables - Hombre,"189,99 €",Men,Unknown,Unknown,Unknown
Nike Winflo 9 Shield,Zapatillas de running para carretera para el mal tiempo - Hombre,"124,99 €",Men,Unknown,Unknown,Unknown
Nike Juniper Trail 2 GORE-TEX,Zapatillas de trail running impermeables - Hombre,"114,99 €",Men,Unknown,Unknown,Unknown
Nike Pegasus 40,Zapatillas de running para asfalto - Hombre,"90,97 €",Men,Unknown,Unknown,Unknown
Nike Pegasus Turbo,Zapatillas de running para asfalto - Hombre,"95,97 €",Men,Unknown,Unknown,Unknown
Nike Zoom Fly 5,Zapatillas de running para asfalto - Hombre,"169,99 €",Men,Unknown,Unknown,Unknown
Nike Vaporfly 3,Zapatillas de competición para asfalto - Hombre,"259,99 €",Men,Unknown,Unknown,Unknown
Nike Alphafly 2,Zapatillas de competición para asfalto - Hombre,"309,99 €",Men,Unknown,Unknown,Unknown
Nike Revolution 6,Zapatillas de running para asfalto - Hombre,"45,47 €",Men,Unknown,Unknown,Unknown
Nike Invincible 3,Zapatillas de running para asfalto - Hombre,"189,99 €",Men,Unknown,Unknown,Unknown
Nike InfinityRN 4,Zapatillas de running para asfalto - Hombre,"169,99 €",Men,Unknown,Unknown,Unknown
Nike Pegasus Trail 4,Zapatillas de trail running - Hombre,"97,97 €",Men,Unknown,Unknown,Unknown
Nike Vomero 17,Zapatillas de running para asfalto - Hombre,"159,99 €",Men,Unknown,Unknown,Unknown
Nike Juniper Trail 2,Zapatillas de trail running - Hombre,"71,97 €",Men,Unknown,Unknown,Unknown
Nike Zegama,Zapatillas de trail running - Hombre,"95,97 €",Men,Unknown,Unknown,Unknown
Nike Revolution 7,Zapatillas de running para asfalto - Hombre,"64,99 €",Men,Unknown,Unknown,Unknown
Nike Pegasus 40 Premium,Zapatillas de running para asfalto - Hombre,"139,99 €",Men,Unknown,Unknown,Unknown
"Nike Zoom Fly 5 ""Eliud Kipchoge""",Zapatillas de competición para asfalto - Hombre,"179,99 €",Men,Unknown,Unknown,Unknown
Nike Flex Experience Run 11,Zapatillas de running para asfalto - Hombre,"55,97 €",Men,Unknown,Unknown,Unknown
Nike Free RN NN,Zapatillas de running para asfalto - Hombre,"119,99 €",Men,Unknown,Unknown,Unknown
"Nike Alphafly 2 ""Eliud Kipchoge""",Zapatillas de competición para asfalto - Hombre,"319,99 €",Men,Unknown,Unknown,Unknown
Nike Pegasus Trail 4 GORE-TEX,,,Woman,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/62f2cd3a-045f-453e-b902-1529f517ca62/pegasus-trail-4-gore-tex-zapatillas-de-trail-running-el-mal-tiempo-49RhsL.png",Zapatillas de trail running para el mal tiempo - Mujer,"['Pale Ivory/Luminous Green/High Voltage/Neutral Olive', 'University Blue/Pink Glow/Gym Red/Safety Orange', 'Negro/Reflect Silver/Wolf Grey', 'Hyper Pink/Team Red/Pink Foam/Burgundy Crush', 'Emerald Rise/Amber Brown/Ember Glow/Sequoia', 'Negro/Light Photo Blue/Track Red/Vivid Sulfur']"
